Time (s),Setpoint,PID Output,GA-Tuned PID Output,Neuro-Fuzzy Output
0.0,1.0,0.0,0.0,0.0
0.002002002002002002,1.0,0.03917160225802529,0.9545230981419124,4.07287341546585e-05
0.004004004004004004,1.0,0.07665841114641422,0.9917036611107808,0.0001616200461578
0.006006006006006006,1.0,0.11253588627039901,0.993142830189861,0.0003607614725267
0.008008008008008008,1.0,0.14687606514858215,0.9931894846206046,0.0006362797433893
0.01001001001001001,1.0,0.1797477189315137,0.9931819228764548,0.0009863400006363
0.012012012012012012,1.0,0.2112165010282146,0.993172287593366,0.0014091450315872
0.014014014014014014,1.0,0.24134508896371984,0.9931626102974557,0.0019029345178618
0.016016016016016016,1.0,0.2701933197759954,0.9931529700894276,0.0024659842991579
0.018018018018018018,1.0,0.297818319246537,0.993143369999719,0.0030966056516374
0.02002002002002002,1.0,0.32427462524554906,0.9931338100949118,0.003793144580633
0.022022022022022022,1.0,0.34961430545980804,0.9931242903261005,0.0045539811273911
0.024024024024024024,1.0,0.3738870697590975,0.9931148106398694,0.0053775286895718
0.026026026026026026,1.0,0.3971403774454468,0.9931053709826174,0.0062622333552351
0.028028028028028028,1.0,0.41941953961827927,0.993095971300726,0.0072065732500438
0.03003003003003003,1.0,0.4407678168779538,0.9930866115405665,0.0082090578974237
0.03203203203203203,1.0,0.4612265125800511,0.9930772916485006,0.0092682275914213
0.03403403403403403,1.0,0.4808350618430802,0.9930680115708793,0.0103826527820098
0.036036036036036036,1.0,0.4996311165030476,0.9930587712540452,0.0115509334725957
0.03803803803803804,1.0,0.5176506261995194,0.9930495706443311,0.0127716986294834
0.04004004004004004,1.0,0.5349279157693969,0.9930404096880604,0.0140436056030623
0.04204204204204204,1.0,0.5514957591165945,0.9930312883315479,0.0153653395604829
0.044044044044044044,1.0,0.5673854497181521,0.9930222065210993,0.0167356129295939
0.04604604604604605,1.0,0.5826268679199933,0.9930131642030119,0.0181531648539189
0.04804804804804805,1.0,0.5972485451685723,0.9930041613235743,0.0196167606584516
0.050050050050050046,1.0,0.611277725317977,0.9929951978290665,0.0211251913260561
0.05205205205205205,1.0,0.6247404231457075,0.9929862736657616,0.0226772729842628
0.05405405405405406,1.0,0.6376614802042774,0.9929773887799235,0.024271846402252
0.056056056056056056,1.0,0.6500646181299896,0.992968543117809,0.0259077764978253
0.058058058058058054,1.0,0.6619724895247161,0.9929597366256669,0.0275839518541649
0.06006006006006006,1.0,0.6734067265212288,0.9929509692497396,0.0292992842461882
0.062062062062062065,1.0,0.6843879871375972,0.9929422409362606,0.0310527081763072
0.06406406406406406,1.0,0.6949359995213575,0.992933551631458,0.032843180419405
0.06606606606606606,1.0,0.705069604179574,0.9929249012815521,0.0346696795768488
0.06806806806806806,1.0,0.7148067942865315,0.9929162898327567,0.0365312056393583
0.07007007007007007,1.0,0.7241647541566205,0.9929077172312795,0.0384267795585556
0.07207207207207207,1.0,0.7331598959659881,0.9928991834233213,0.0403554428270227
0.07407407407407407,1.0,0.7418078948027179,0.9928906883550765,0.0423162570666999
0.07607607607607608,1.0,0.7501237221216706,0.992882231972735,0.0443083036254581
0.07807807807807808,1.0,0.7581216776766496,0.9928738142224787,0.0463306831816839
0.08008008008008008,1.0,0.7658154199992442,0.9928654350504855,0.0483825153567182
0.08208208208208208,1.0,0.7732179954905413,0.9928570944029276,0.0504629383349931
0.08408408408408408,1.0,0.7803418661888879,0.9928487922259711,0.0525711084917136
0.08608608608608609,1.0,0.787198936274002,0.9928405284657776,0.0547062000279357
0.08808808808808809,1.0,0.7938005773649844,0.9928323030685039,0.0568674046128929
0.09009009009009009,1.0,0.8001576526671661,0.9928241159803013,0.059053931033429
0.0920920920920921,1.0,0.8062805400202149,0.9928159671473172,0.0612650048503945
0.0940940940940941,1.0,0.8121791538975468,0.9928078565156943,0.0634998680618703
0.0960960960960961,1.0,0.8178629664048018,0.992799784031571,0.0657577787730819
0.0980980980980981,1.0,0.8233410273229664,0.9927917496410813,0.0680380108728721
0.10010010010010009,1.0,0.8286219832396566,0.9927837532903558,0.0703398537166028
0.1021021021021021,1.0,0.8337140958100845,0.9927757949255211,0.0726626118153568
0.1041041041041041,1.0,0.8386252591873443,0.9927678744927003,0.0750056045313163
0.1061061061061061,1.0,0.8433630166598477,0.9927599919380128,0.0773681657791949
0.10810810810810811,1.0,0.8479345765320158,0.992752147207575,0.0797496437336027
0.11011011011011011,1.0,0.8523468272826868,0.9927443402475001,0.0821494005422279
0.11211211211211211,1.0,0.8566063520341335,0.9927365710038983,0.0845668120447187
0.11411411411411411,1.0,0.8607194423630821,0.9927288394228777,0.0870012674971529
0.11611611611611611,1.0,0.8646921114836973,0.9927211454505425,0.0894521693019837
0.11811811811811812,1.0,0.8685301068311307,0.9927134890329955,0.0919189327433547
0.12012012012012012,1.0,0.8722389220729296,0.9927058701163374,0.0944009857276759
0.12212212212212212,1.0,0.8758238085743567,0.9926982886466659,0.096897768529357
0.12412412412412413,1.0,0.8792897863424883,0.9926907445700776,0.0994087335415964
0.12612612612612611,1.0,0.8826416544728226,0.9926832378326668,0.1019333450321246
0.12812812812812813,1.0,0.8858840011210503,0.9926757683805268,0.1044710789038047
0.13013013013013014,1.0,0.8890212130216077,0.9926683361597487,0.1070214224599924
0.13213213213213212,1.0,0.8920574845736474,0.9926609411164229,0.1095838741745631
0.13413413413413414,1.0,0.894996826514122,0.9926535831966385,0.1121579434665117
0.13613613613613612,1.0,0.8978430741967782,0.9926462623464839,0.1147431504790348
